"organizationId","codeType","codeid","codeDescr","languageId"
"OJV_CML","LOC_CAT","APS","Auto Empty pallet stacking Station","en"
"OJV_CML","LOC_CAT","APS","Auto Empty pallet stacking Station","id"
"OJV_CML","LOC_CAT","APS","????????","zh_CN"
"OJV_CML","LOC_CAT","B","B","en"
"OJV_CML","LOC_CAT","BS","Block Stage","en"
"OJV_CML","LOC_CAT","BSG","Bulk Storage","en"
"OJV_CML","LOC_CAT","CRK","Cantilever Rack","en"
"OJV_CML","LOC_CAT","CSG","Cabinet Storage","en"
"OJV_CML","LOC_CAT","CSL","Carousel","en"
"OJV_CML","LOC_CAT","DD","Double Deep","en"
"OJV_CML","LOC_CAT","DR","Drive-in Rack","en"
"OJV_CML","LOC_CAT","DRK","Drum Rack","en"
"OJV_CML","LOC_CAT","E","E","en"
"OJV_CML","LOC_CAT","FS","Flat Storage","en"
"OJV_CML","LOC_CAT","FS","Penyimpanan datar","id"
"OJV_CML","LOC_CAT","FS","????","zh_CN"
"OJV_CML","LOC_CAT","FSG","Floor Storage","en"
"OJV_CML","LOC_CAT","G","G","en"
"OJV_CML","LOC_CAT","GA","Gravity Rack (AC)","en"
"OJV_CML","LOC_CAT","GCK","Gas Cylinder Rack","en"
"OJV_CML","LOC_CAT","GR","Gravity Rack (Dry)","en"
"OJV_CML","LOC_CAT","GR","Gravity Rack","id"
"OJV_CML","LOC_CAT","GR","?????","zh_CN"
"OJV_CML","LOC_CAT","HDPR","Heavy Duty Pallet Racking","en"
"OJV_CML","LOC_CAT","IN","Infeed Station","en"
"OJV_CML","LOC_CAT","IN","Infeed Station","id"
"OJV_CML","LOC_CAT","IN","???","zh_CN"
"OJV_CML","LOC_CAT","MDPR","Medium Duty Pallet Rack","en"
"OJV_CML","LOC_CAT","MPS","Manual Empty pallet stacking Station","en"
"OJV_CML","LOC_CAT","MPS","Manual Empty pallet stacking Station","id"
"OJV_CML","LOC_CAT","MPS","????????","zh_CN"
"OJV_CML","LOC_CAT","OPS","Open Storage","en"
"OJV_CML","LOC_CAT","OUT","Outfeed Station","en"
"OJV_CML","LOC_CAT","OUT","Outfeed Station","id"
"OJV_CML","LOC_CAT","OUT","???","zh_CN"
"OJV_CML","LOC_CAT","PK","Picking Station","en"
"OJV_CML","LOC_CAT","PK","Picking Station","id"
"OJV_CML","LOC_CAT","PK","???????","zh_CN"
"OJV_CML","LOC_CAT","RK","Shelves","en"
"OJV_CML","LOC_CAT","RK","Rak-rak","id"
"OJV_CML","LOC_CAT","RK","??","zh_CN"
"OJV_CML","LOC_CAT","SD","Single Deep","en"
"OJV_CML","LOC_CAT","SR","Selving Rack","en"
"OJV_CML","LOC_CAT","SRK","Steel Rack","en"
"OJV_CML","LOC_CAT","TSG","Tank Storage","en"
"OJV_CML","LOC_CAT","VN","VNA","en"
"OJV_CML","LOC_CAT","VN","VNA","id"
"OJV_CML","LOC_CAT","VN","?????","zh_CN"
"OJV_CML","LOC_CAT","VT","Virtual Location","en"
"OJV_CML","LOC_CAT","VT","Lokasi virtual","id"
"OJV_CML","LOC_CAT","VT","????","zh_CN"
"OJV_CML","LOC_CAT","YRD","Yard","en"
